iter	Passed	Remaining
0	678	678117
1	680	339344
2	681	226342
3	682	169844
4	683	136107
5	685	113554
6	686	97381
7	687	85253
8	688	75818
9	689	68283
10	690	62107
11	691	56965
12	692	52607
13	693	48877
14	695	45638
15	696	42812
16	697	40355
17	699	38152
18	700	36160
19	701	34370
20	702	32748
21	703	31277
22	704	29944
23	705	28709
24	706	27570
25	708	26525
26	709	25552
27	710	24649
28	711	23809
29	712	23043
30	714	22345
31	716	21659
32	717	21012
33	718	20403
34	719	19829
35	720	19288
36	721	18773
37	722	18285
38	723	17823
39	724	17385
40	725	16978
41	727	16596
42	728	16217
43	729	15855
44	730	15507
45	731	15176
46	732	14859
47	733	14556
48	734	14263
49	737	14008
50	738	13746
51	739	13490
52	741	13240
53	742	13000
54	743	12769
55	744	12548
56	745	12332
57	746	12125
58	747	11924
59	748	11729
60	749	11541
61	751	11375
62	753	11200
63	754	11029
64	755	10864
65	756	10705
66	757	10548
67	758	10389
68	759	10242
69	760	10098
70	761	9960
71	762	9825
72	763	9695
73	764	9569
74	766	9453
75	767	9333
76	768	9215
77	769	9100
78	770	8986
79	771	8877
80	773	8774
81	774	8673
82	775	8573
83	777	8475
84	778	8375
85	779	8285
86	780	8191
87	782	8105
88	783	8016
89	784	7929
90	785	7844
91	786	7760
92	787	7678
93	788	7599
94	789	7521
95	790	7447
96	791	7372
97	792	7298
98	794	7234
99	796	7167
100	797	7098
101	798	7025
102	799	6960
103	800	6895
104	801	6832
105	802	6769
106	803	6707
107	804	6647
108	805	6588
109	807	6531
110	808	6473
111	810	6423
112	811	6369
113	812	6315
114	813	6261
115	814	6207
116	815	6156
117	816	6106
118	817	6054
119	818	6005
120	819	5956
121	821	5908
122	821	5857
123	822	5810
124	824	5768
125	825	5727
126	827	5685
127	827	5639
128	828	5596
129	830	5554
130	831	5512
131	832	5472
132	833	5431
133	834	5392
134	835	5353
135	836	5314
136	837	5276
137	839	5242
138	840	5207
139	842	5172
140	843	5136
141	844	5100
142	845	5065
143	846	5031
144	847	4998
145	848	4965
146	850	4932
147	851	4900
148	852	4868
149	854	4841
150	855	4812
151	856	4780
152	858	4749
153	859	4719
154	860	4691
155	861	4661
156	862	4631
157	863	4602
158	864	4573
159	865	4545
160	866	4517
161	869	4497
162	870	4471
163	872	4445
164	873	4419
165	874	4394
166	875	4369
167	877	4344
168	878	4319
169	879	4293
170	880	4268
171	881	4244
172	883	4221
173	884	4199
174	886	4180
175	887	4157
176	888	4133
177	890	4110
178	891	4087
179	892	4064
180	892	4039
181	893	4017
182	895	3997
183	896	3975
184	898	3956
185	899	3937
186	901	3917
187	903	3900
188	905	3885
189	906	3865
190	907	3844
191	908	3824
192	910	3805
193	911	3785
194	913	3772
195	915	3753
196	916	3736
197	917	3717
198	918	3698
199	920	3682
200	922	3666
201	923	3649
202	925	3632
203	926	3615
204	927	3598
205	929	3583
206	930	3565
207	931	3547
208	932	3530
209	933	3512
210	934	3495
211	935	3478
212	937	3462
213	938	3446
214	939	3430
215	940	3414
216	942	3399
217	943	3383
218	945	3370
219	948	3361
220	949	3346
221	950	3330
222	951	3315
223	952	3300
224	954	3286
225	956	3274
226	958	3263
227	959	3250
228	961	3236
229	962	3222
230	964	3209
231	965	3195
232	967	3184
233	969	3172
234	975	3175
235	976	3162
236	977	3148
237	980	3139
238	982	3127
239	984	3116
240	986	3107
241	988	3095
242	989	3082
243	991	3070
244	994	3065
245	996	3055
246	998	3043
247	999	3031
248	1002	3022
249	1008	3026
250	1010	3014
251	1012	3004
252	1016	3000
253	1020	2996
254	1024	2994
255	1026	2982
256	1027	2971
257	1033	2973
258	1036	2966
259	1038	2954
260	1040	2945
261	1041	2934
262	1042	2922
263	1049	2925
264	1051	2917
265	1053	2906
266	1054	2895
267	1055	2884
268	1057	2872
269	1058	2861
270	1064	2864
271	1067	2856
272	1068	2845
273	1070	2835
274	1071	2826
275	1073	2815
276	1080	2819
277	1082	2812
278	1084	2801
279	1085	2791
280	1086	2780
281	1087	2769
282	1088	2759
283	1094	2759
284	1097	2752
285	1098	2741
286	1099	2731
287	1101	2721
288	1102	2711
289	1104	2703
290	1108	2701
291	1110	2691
292	1111	2681
293	1112	2671
294	1113	2661
295	1114	2651
296	1115	2641
297	1119	2637
298	1121	2628
299	1122	2619
300	1123	2609
301	1124	2600
302	1126	2590
303	1127	2581
304	1128	2571
305	1129	2562
306	1131	2553
307	1135	2550
308	1137	2542
309	1138	2533
310	1139	2524
311	1140	2515
312	1142	2506
313	1143	2497
314	1144	2488
315	1145	2479
316	1146	2470
317	1149	2465
318	1151	2457
319	1152	2449
320	1154	2441
321	1155	2433
322	1156	2424
323	1157	2415
324	1159	2407
325	1160	2399
326	1161	2391
327	1164	2386
328	1165	2377
329	1167	2369
330	1168	2362
331	1170	2354
332	1171	2345
333	1172	2337
334	1173	2329
335	1174	2321
336	1176	2313
337	1178	2307
338	1179	2300
339	1180	2292
340	1182	2285
341	1183	2277
342	1184	2269
343	1185	2261
344	1187	2253
345	1188	2246
346	1189	2238
347	1190	2230
348	1192	2224
349	1194	2218
350	1195	2211
351	1197	2203
352	1198	2196
353	1199	2188
354	1200	2181
355	1201	2173
356	1202	2166
357	1204	2159
358	1205	2151
359	1206	2144
360	1209	2140
361	1210	2133
362	1212	2126
363	1213	2120
364	1215	2114
365	1216	2107
366	1217	2100
367	1218	2093
368	1220	2086
369	1221	2079
370	1222	2073
371	1224	2067
372	1225	2060
373	1226	2053
374	1227	2046
375	1228	2039
376	1229	2032
377	1230	2025
378	1231	2018
379	1233	2011
380	1234	2005
381	1235	1998
382	1236	1992
383	1238	1987
384	1240	1980
385	1241	1974
386	1242	1967
387	1243	1961
388	1244	1954
389	1246	1948
390	1247	1942
391	1248	1936
392	1249	1929
393	1250	1923
394	1252	1918
395	1254	1912
396	1255	1906
397	1256	1900
398	1257	1894
399	1258	1887
400	1259	1881
401	1260	1875
402	1261	1869
403	1263	1863
404	1264	1857
405	1265	1851
406	1266	1845
407	1268	1840
408	1269	1834
409	1271	1829
410	1272	1823
411	1273	1817
412	1274	1811
413	1276	1806
414	1277	1800
415	1278	1794
416	1279	1788
417	1280	1783
418	1283	1780
419	1285	1774
420	1286	1769
421	1287	1763
422	1288	1757
423	1289	1752
424	1291	1746
425	1292	1741
426	1293	1735
427	1294	1730
428	1296	1725
429	1298	1721
430	1299	1715
431	1301	1710
432	1302	1705
433	1303	1699
434	1304	1694
435	1305	1688
436	1306	1683
437	1307	1678
438	1309	1672
439	1310	1667
440	1312	1663
441	1313	1658
442	1314	1653
443	1316	1648
444	1318	1643
445	1319	1638
446	1320	1633
447	1321	1628
448	1322	1623
449	1323	1618
450	1325	1612
451	1328	1610
452	1329	1605
453	1330	1600
454	1331	1595
455	1332	1590
456	1334	1585
457	1335	1580
458	1336	1575
459	1337	1570
460	1338	1565
461	1339	1560
462	1342	1556
463	1343	1552
464	1344	1547
465	1345	1542
466	1346	1537
467	1347	1532
468	1348	1527
469	1350	1522
470	1351	1517
471	1352	1512
472	1353	1507
473	1354	1503
474	1356	1499
475	1357	1494
476	1358	1490
477	1360	1485
478	1361	1481
479	1363	1476
480	1364	1471
481	1365	1467
482	1366	1462
483	1367	1457
484	1368	1453
485	1370	1449
486	1371	1445
487	1372	1440
488	1373	1435
489	1375	1431
490	1376	1426
491	1377	1422
492	1378	1417
493	1379	1413
494	1380	1408
495	1382	1404
496	1383	1399
497	1384	1395
498	1386	1392
499	1387	1387
500	1389	1383
501	1390	1378
502	1391	1374
503	1392	1370
504	1393	1365
505	1394	1361
506	1395	1357
507	1396	1352
508	1397	1348
509	1398	1344
510	1400	1340
511	1401	1335
512	1402	1331
513	1404	1328
514	1405	1323
515	1407	1320
516	1409	1316
517	1410	1312
518	1411	1307
519	1412	1304
520	1413	1299
521	1415	1296
522	1416	1292
523	1418	1288
524	1419	1284
525	1421	1280
526	1422	1277
527	1424	1272
528	1425	1268
529	1426	1264
530	1427	1260
531	1428	1256
532	1430	1253
533	1431	1249
534	1433	1245
535	1434	1241
536	1435	1237
537	1437	1234
538	1438	1230
539	1440	1226
540	1441	1222
541	1442	1218
542	1443	1214
543	1444	1210
544	1446	1207
545	1447	1203
546	1448	1199
547	1450	1196
548	1451	1192
549	1453	1189
550	1454	1185
551	1455	1181
552	1456	1177
553	1457	1173
554	1459	1170
555	1460	1166
556	1462	1162
557	1463	1159
558	1465	1155
559	1466	1152
560	1468	1148
561	1469	1144
562	1470	1141
563	1471	1137
564	1472	1133
565	1474	1130
566	1475	1126
567	1476	1123
568	1477	1119
569	1478	1115
570	1479	1111
571	1481	1108
572	1482	1104
573	1483	1101
574	1484	1097
575	1485	1093
576	1486	1089
577	1488	1086
578	1490	1083
579	1491	1079
580	1492	1076
581	1493	1072
582	1495	1069
583	1496	1066
584	1498	1062
585	1499	1059
586	1500	1055
587	1501	1051
588	1502	1048
589	1504	1045
590	1505	1041
591	1506	1038
592	1507	1034
593	1509	1031
594	1510	1027
595	1511	1024
596	1512	1020
597	1513	1017
598	1514	1013
599	1515	1010
600	1517	1007
601	1518	1003
602	1519	1000
603	1521	997
604	1522	994
605	1524	991
606	1526	988
607	1527	984
608	1528	981
609	1529	978
610	1531	974
611	1533	971
612	1534	968
613	1535	965
614	1536	962
615	1537	958
616	1539	955
617	1540	952
618	1541	948
619	1542	945
620	1544	942
621	1545	939
622	1546	935
623	1548	932
624	1549	929
625	1551	926
626	1551	923
627	1552	919
628	1554	916
629	1555	913
630	1556	910
631	1557	907
632	1559	903
633	1560	900
634	1561	897
635	1563	894
636	1564	891
637	1565	888
638	1567	885
639	1568	882
640	1569	879
641	1570	875
642	1571	872
643	1572	869
644	1573	866
645	1574	862
646	1576	860
647	1577	857
648	1579	854
649	1580	850
650	1581	847
651	1582	844
652	1583	841
653	1584	838
654	1585	835
655	1586	832
656	1588	829
657	1589	826
658	1590	822
659	1591	819
660	1593	817
661	1594	814
662	1595	811
663	1596	807
664	1597	804
665	1598	801
666	1600	798
667	1601	795
668	1602	792
669	1603	789
670	1604	786
671	1606	783
672	1607	781
673	1608	778
674	1609	775
675	1611	772
676	1612	769
677	1613	766
678	1614	763
679	1615	760
680	1616	757
681	1617	754
682	1618	751
683	1620	748
684	1621	745
685	1622	742
686	1623	739
687	1624	736
688	1625	733
689	1626	730
690	1627	727
691	1628	725
692	1630	722
693	1631	719
694	1632	716
695	1633	713
696	1634	710
697	1635	707
698	1637	705
699	1638	702
700	1639	699
701	1640	696
702	1641	693
703	1643	690
704	1644	688
705	1644	684
706	1645	682
707	1647	679
708	1648	676
709	1649	673
710	1650	670
711	1651	668
712	1652	665
713	1653	662
714	1654	659
715	1656	656
716	1656	654
717	1658	651
718	1659	648
719	1660	645
